CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
no,2020-11-17T16:51:52.977Z,773,0,5,5,38075
yes,2020-11-17T16:51:52.977Z,460,0,5,5,38075
