CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
buck-32574,2020-11-27T19:24:54.557Z,32740,0,0
hagan-30379,2020-11-27T19:24:54.557Z,2007,0,0
watson-32871,2020-11-27T19:24:54.557Z,32411,0,0
