CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
bohmfalk-51324,2020-11-25T23:28:45.5Z,29432,26343,0
kuempel-50538,2020-11-25T23:28:45.5Z,67304,57784,0
mardock-52874,2020-11-25T23:28:45.5Z,3098,2455,0
