CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
codyw,2021-02-17T16:45:17Z,22,15,9,9,48095
hoggj,2021-02-17T16:45:17Z,172,121,9,9,48095
pflugera,2021-02-17T16:45:17Z,1052,637,9,9,48095
