CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
clintont,2020-11-25T23:28:43.727Z,86,68,5,5,48421
yearyk,2020-11-25T23:28:43.727Z,881,596,5,5,48421
