CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
busbyb,2020-11-25T23:28:43.727Z,1466,1127,8,8,48417
oxfordt,2020-11-25T23:28:43.727Z,15,4,8,8,48417
trianag,2020-11-25T23:28:43.727Z,105,81,8,8,48417
