CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
arringtonj,2020-11-24T13:26:43Z,1853,1142,5,5,48207
burnesj,2020-11-24T13:26:43Z,23,9,5,5,48207
watsont,2020-11-24T13:26:43Z,324,222,5,5,48207
