CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
brown-91-44-h,2021-02-22T20:11:31Z,9918,7290,0
kennedy-19429-44-h,2021-02-22T20:11:31Z,125565,109925,0
sessions-358-44-h,2021-02-22T20:11:31Z,171390,138312,0
