CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
hooton-9108,2020-12-03T17:32:28.267Z,39269,0,0
stickney-9489,2020-12-03T17:32:28.267Z,6733,0,0
