CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
biden-1036,2021-01-26T18:21:12Z,1804352,0,9
blankenship-19247-6-p,2021-01-26T18:21:12Z,5061,0,0
carroll-19790-6-p,2021-01-26T18:21:12Z,2515,0,0
charles-20073949-6-p,2021-01-26T18:21:12Z,2011,0,0
collins-20073950-6-p,2021-01-26T18:21:12Z,568,0,0
de-la-fuente-64542-6-p,2021-01-26T18:21:12Z,636,0,0
hammons-59790-6-p,2021-01-26T18:21:12Z,2730,0,0
hawkins-32916-6-p,2021-01-26T18:21:12Z,8986,0,0
huber-20073948-6-p,2021-01-26T18:21:12Z,355,0,0
hunter-20073951-6-p,2021-01-26T18:21:12Z,379,0,0
jacob-fambro-20073952-6-p,2021-01-26T18:21:12Z,495,0,0
jorgensen-20062680-6-p,2021-01-26T18:21:12Z,52460,0,0
kennedy-65352-6-p,2021-01-26T18:21:12Z,354,0,0
kishore-20073953-6-p,2021-01-26T18:21:12Z,196,0,0
kopitke-14237-6-p,2021-01-26T18:21:12Z,762,0,0
la-riva-254-6-p,2021-01-26T18:21:12Z,1035,0,0
mchugh-20073954-6-p,2021-01-26T18:21:12Z,614,0,0
pierce-20073903-6-p,2021-01-26T18:21:12Z,572,0,0
scott-20074119-6-p,2021-01-26T18:21:12Z,175,0,0
trump-8639,2021-01-26T18:21:12Z,1364607,0,0
west-20073902-6-p,2021-01-26T18:21:12Z,8089,0,0
write-ins-21303-6-p,2021-01-26T18:21:12Z,24,0,0
