CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
biden-1036,2021-01-26T15:47:27Z,856034,446217,0
blankenship-19247-19-p,2021-01-26T15:47:27Z,860,369,0
boddie-20073322-19-p,2021-01-26T15:47:27Z,1125,524,0
carroll-19790-19-p,2021-01-26T15:47:27Z,2497,769,0
hammons-59790-19-p,2021-01-26T15:47:27Z,662,256,0
hoefling-62535-19-p,2021-01-26T15:47:27Z,668,323,0
jorgensen-20062680-19-p,2021-01-26T15:47:27Z,21645,6646,0
kennedy-65352-19-p,2021-01-26T15:47:27Z,536,229,0
la-riva-254-19-p,2021-01-26T15:47:27Z,987,436,0
pierce-20073903-19-p,2021-01-26T15:47:27Z,749,268,0
simmons-20073904-19-p,2021-01-26T15:47:27Z,1626,536,0
trump-8639,2021-01-26T15:47:27Z,1255776,521336,8
west-20073902-19-p,2021-01-26T15:47:27Z,4897,1180,0
