CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
hollingswortht,2020-11-26T17:55:13Z,14149,0,30,30,18071
millist,2020-11-26T17:55:13Z,756,0,30,30,18071
ruffa,2020-11-26T17:55:13Z,4038,0,30,30,18071
