CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bucshonl,2020-11-26T17:55:45Z,11564,5261,33,33,18083
marsilit,2020-11-26T17:55:45Z,3468,2318,33,33,18083
rodenbergerj,2020-11-26T17:55:45Z,525,201,33,33,18083
