COUNTY,CANDIDATE,Timestamp,ABSENTEE_VOTES,ELECTION_DAY_VOTES,PROVISIONAL_VOTES,ABSENTEE_TOTAL_VOTES,ELECTION_DAY_TOTAL_VOTES,PROVISIONAL_TOTAL_VOTES
ADAMS,bidenj,12/27/2021 20:35:30.245083,11436,6611,160,18840,37097,603
ADAMS,jorgensenj,12/27/2021 20:35:30.245083,256,544,10,18840,37097,603
ADAMS,trumpd,12/27/2021 20:35:30.245083,7148,29942,433,18840,37097,603
ALLEGHENY,bidenj,12/27/2021 20:35:30.245083,273080,148171,7814,342731,362715,14287
ALLEGHENY,jorgensenj,12/27/2021 20:35:30.245083,3076,5085,183,342731,362715,14287
ALLEGHENY,trumpd,12/27/2021 20:35:30.245083,66575,209459,6290,342731,362715,14287
ARMSTRONG,bidenj,12/27/2021 20:35:30.245083,4108,4275,74,7103,28848,419
ARMSTRONG,jorgensenj,12/27/2021 20:35:30.245083,78,340,6,7103,28848,419
ARMSTRONG,trumpd,12/27/2021 20:35:30.245083,2917,24233,339,7103,28848,419
BEAVER,bidenj,12/27/2021 20:35:30.245083,20153,17304,665,28993,63619,1510
BEAVER,jorgensenj,12/27/2021 20:35:30.245083,372,851,18,28993,63619,1510
BEAVER,trumpd,12/27/2021 20:35:30.245083,8468,45464,827,28993,63619,1510
BEDFORD,bidenj,12/27/2021 20:35:30.245083,2498,1822,47,5584,21580,410
BEDFORD,jorgensenj,12/27/2021 20:35:30.245083,59,121,2,5584,21580,410
BEDFORD,trumpd,12/27/2021 20:35:30.245083,3027,19637,361,5584,21580,410
BERKS,bidenj,12/27/2021 20:35:30.245083,47364,43533,1998,65179,136170,4191
BERKS,jorgensenj,12/27/2021 20:35:30.245083,778,2058,73,65179,136170,4191
BERKS,trumpd,12/27/2021 20:35:30.245083,17037,90579,2120,65179,136170,4191
BLAIR,bidenj,12/27/2021 20:35:30.245083,9576,7856,204,16884,45920,791
BLAIR,jorgensenj,12/27/2021 20:35:30.245083,193,454,6,16884,45920,791
BLAIR,trumpd,12/27/2021 20:35:30.245083,7115,37610,581,16884,45920,791
BRADFORD,bidenj,12/27/2021 20:35:30.245083,3806,4147,93,6514,23209,436
BRADFORD,jorgensenj,12/27/2021 20:35:30.245083,109,397,7,6514,23209,436
BRADFORD,trumpd,12/27/2021 20:35:30.245083,2599,18665,336,6514,23209,436
BUCKS,bidenj,12/27/2021 20:35:30.245083,124345,77498,2869,164304,225995,5935
BUCKS,jorgensenj,12/27/2021 20:35:30.245083,1453,2654,48,164304,225995,5935
BUCKS,trumpd,12/27/2021 20:35:30.245083,38506,145843,3018,164304,225995,5935
BUTLER,bidenj,12/27/2021 20:35:30.245083,21061,15955,492,32931,78881,1493
BUTLER,jorgensenj,12/27/2021 20:35:30.245083,369,1046,23,32931,78881,1493
BUTLER,trumpd,12/27/2021 20:35:30.245083,11501,61880,978,32931,78881,1493
CAMBRIA,bidenj,12/27/2021 20:35:30.245083,10878,10585,267,17516,52228,830
CAMBRIA,jorgensenj,12/27/2021 20:35:30.245083,209,542,8,17516,52228,830
CAMBRIA,trumpd,12/27/2021 20:35:30.245083,6429,41101,555,17516,52228,830
CAMERON,bidenj,12/27/2021 20:35:30.245083,347,279,8,715,1691,28
CAMERON,jorgensenj,12/27/2021 20:35:30.245083,10,19,0,715,1691,28
CAMERON,trumpd,12/27/2021 20:35:30.245083,358,1393,20,715,1691,28
CARBON,bidenj,12/27/2021 20:35:30.245083,5898,5145,169,9161,23979,489
CARBON,jorgensenj,12/27/2021 20:35:30.245083,99,328,6,9161,23979,489
CARBON,trumpd,12/27/2021 20:35:30.245083,3164,18506,314,9161,23979,489
CENTRE,bidenj,12/27/2021 20:35:30.245083,25307,14449,299,32576,44296,621
CENTRE,jorgensenj,12/27/2021 20:35:30.245083,380,672,14,32576,44296,621
CENTRE,trumpd,12/27/2021 20:35:30.245083,6889,29175,308,32576,44296,621
CHESTER,bidenj,12/27/2021 20:35:30.245083,118545,61873,1954,150083,160949,3470
CHESTER,jorgensenj,12/27/2021 20:35:30.245083,1356,2171,38,150083,160949,3470
CHESTER,trumpd,12/27/2021 20:35:30.245083,30182,96905,1478,150083,160949,3470
CLARION,bidenj,12/27/2021 20:35:30.245083,2310,2339,29,4092,15199,202
CLARION,jorgensenj,12/27/2021 20:35:30.245083,62,173,2,4092,15199,202
CLARION,trumpd,12/27/2021 20:35:30.245083,1720,12687,171,4092,15199,202
CLEARFIELD,bidenj,12/27/2021 20:35:30.245083,4777,4823,73,8374,30756,292
CLEARFIELD,jorgensenj,12/27/2021 20:35:30.245083,140,402,4,8374,30756,292
CLEARFIELD,trumpd,12/27/2021 20:35:30.245083,3457,25531,215,8374,30756,292
CLINTON,bidenj,12/27/2021 20:35:30.245083,2703,2706,93,4252,13052,321
CLINTON,jorgensenj,12/27/2021 20:35:30.245083,42,177,2,4252,13052,321
CLINTON,trumpd,12/27/2021 20:35:30.245083,1507,10169,226,4252,13052,321
COLUMBIA,bidenj,12/27/2021 20:35:30.245083,5489,4945,98,8447,22372,352
COLUMBIA,jorgensenj,12/27/2021 20:35:30.245083,130,403,8,8447,22372,352
COLUMBIA,trumpd,12/27/2021 20:35:30.245083,2828,17024,246,8447,22372,352
CRAWFORD,bidenj,12/27/2021 20:35:30.245083,6557,6053,314,10508,30617,879
CRAWFORD,jorgensenj,12/27/2021 20:35:30.245083,129,384,8,10508,30617,879
CRAWFORD,trumpd,12/27/2021 20:35:30.245083,3822,24180,557,10508,30617,879
CUMBERLAND,bidenj,12/27/2021 20:35:30.245083,36833,24861,551,52235,87970,1390
CUMBERLAND,jorgensenj,12/27/2021 20:35:30.245083,680,1429,29,52235,87970,1390
CUMBERLAND,trumpd,12/27/2021 20:35:30.245083,14722,61680,810,52235,87970,1390
DAUPHIN,bidenj,12/27/2021 20:35:30.245083,42304,35137,1542,54157,90406,2805
DAUPHIN,jorgensenj,12/27/2021 20:35:30.245083,623,1310,44,54157,90406,2805
DAUPHIN,trumpd,12/27/2021 20:35:30.245083,11230,53959,1219,54157,90406,2805
DELAWARE,bidenj,12/27/2021 20:35:30.245083,107643,94246,4534,128812,192313,6806
DELAWARE,jorgensenj,12/27/2021 20:35:30.245083,874,2048,54,128812,192313,6806
DELAWARE,trumpd,12/27/2021 20:35:30.245083,20295,96019,2218,128812,192313,6806
ELK,bidenj,12/27/2021 20:35:30.245083,2141,2337,44,3822,12893,191
ELK,jorgensenj,12/27/2021 20:35:30.245083,63,179,2,3822,12893,191
ELK,trumpd,12/27/2021 20:35:30.245083,1618,10377,145,3822,12893,191
ERIE,bidenj,12/27/2021 20:35:30.245083,36741,30647,898,48750,86402,1931
ERIE,jorgensenj,12/27/2021 20:35:30.245083,569,1335,24,48750,86402,1931
ERIE,trumpd,12/27/2021 20:35:30.245083,11440,54420,1009,48750,86402,1931
FAYETTE,bidenj,12/27/2021 20:35:30.245083,10538,9337,569,15935,44629,1575
FAYETTE,jorgensenj,12/27/2021 20:35:30.245083,128,328,12,15935,44629,1575
FAYETTE,trumpd,12/27/2021 20:35:30.245083,5269,34964,994,15935,44629,1575
FOREST,bidenj,12/27/2021 20:35:30.245083,420,306,2,731,1898,17
FOREST,jorgensenj,12/27/2021 20:35:30.245083,9,25,2,731,1898,17
FOREST,trumpd,12/27/2021 20:35:30.245083,302,1567,13,731,1898,17
FRANKLIN,bidenj,12/27/2021 20:35:30.245083,12710,9483,229,20799,59208,776
FRANKLIN,jorgensenj,12/27/2021 20:35:30.245083,294,813,9,20799,59208,776
FRANKLIN,trumpd,12/27/2021 20:35:30.245083,7795,48912,538,20799,59208,776
FULTON,bidenj,12/27/2021 20:35:30.245083,511,564,10,1211,6641,125
FULTON,jorgensenj,12/27/2021 20:35:30.245083,21,46,1,1211,6641,125
FULTON,trumpd,12/27/2021 20:35:30.245083,679,6031,114,1211,6641,125
GREENE,bidenj,12/27/2021 20:35:30.245083,2649,2233,29,4342,13153,174
GREENE,jorgensenj,12/27/2021 20:35:30.245083,38,138,3,4342,13153,174
GREENE,trumpd,12/27/2021 20:35:30.245083,1655,10782,142,4342,13153,174
HUNTINGDON,bidenj,12/27/2021 20:35:30.245083,2697,2718,30,4595,18067,130
