COUNTY,PRECINCT,CANDIDATE,Timestamp,ABSENTEE_VOTES,ELECTION_DAY_VOTES,PROVISIONAL_VOTES,TOTAL_VOTES
Allegheny,BELLEVUE WARD 2 DIST 2,other,12/27/2021 20:35:30.245083,1,6,0,337
Allegheny,BELLEVUE WARD 2 DIST 2,trumpd,12/27/2021 20:35:30.245083,46,191,0,337
Allegheny,BELLEVUE WARD 3 DIST 1,bidenj,12/27/2021 20:35:30.245083,300,194,0,361
Allegheny,BELLEVUE WARD 3 DIST 1,jorgensenj,12/27/2021 20:35:30.245083,8,12,0,361
Allegheny,BELLEVUE WARD 3 DIST 1,other,12/27/2021 20:35:30.245083,5,2,0,361
Allegheny,BELLEVUE WARD 3 DIST 1,trumpd,12/27/2021 20:35:30.245083,48,195,0,361
Allegheny,BELLEVUE WARD 3 DIST 2,bidenj,12/27/2021 20:35:30.245083,277,205,0,345
Allegheny,BELLEVUE WARD 3 DIST 2,jorgensenj,12/27/2021 20:35:30.245083,3,12,0,345
Allegheny,BELLEVUE WARD 3 DIST 2,other,12/27/2021 20:35:30.245083,3,2,0,345
Allegheny,BELLEVUE WARD 3 DIST 2,trumpd,12/27/2021 20:35:30.245083,62,213,0,345
Allegheny,BEN AVON DIST 1,bidenj,12/27/2021 20:35:30.245083,137,143,0,161
Allegheny,BEN AVON DIST 1,jorgensenj,12/27/2021 20:35:30.245083,0,2,0,161
Allegheny,BEN AVON DIST 1,other,12/27/2021 20:35:30.245083,2,1,0,161
Allegheny,BEN AVON DIST 1,trumpd,12/27/2021 20:35:30.245083,22,106,0,161
Allegheny,BEN AVON DIST 2,bidenj,12/27/2021 20:35:30.245083,322,212,0,366
Allegheny,BEN AVON DIST 2,jorgensenj,12/27/2021 20:35:30.245083,5,17,0,366
Allegheny,BEN AVON DIST 2,other,12/27/2021 20:35:30.245083,2,3,0,366
Allegheny,BEN AVON DIST 2,trumpd,12/27/2021 20:35:30.245083,37,226,0,366
Allegheny,BEN AVON HT,bidenj,12/27/2021 20:35:30.245083,68,98,0,91
Allegheny,BEN AVON HT,jorgensenj,12/27/2021 20:35:30.245083,0,3,0,91
Allegheny,BEN AVON HT,other,12/27/2021 20:35:30.245083,0,0,0,91
Allegheny,BEN AVON HT,trumpd,12/27/2021 20:35:30.245083,23,104,0,91
Allegheny,BETHEL PARK WARD 1 DIST 1,bidenj,12/27/2021 20:35:30.245083,245,118,0,331
Allegheny,BETHEL PARK WARD 1 DIST 1,jorgensenj,12/27/2021 20:35:30.245083,2,5,0,331
Allegheny,BETHEL PARK WARD 1 DIST 1,other,12/27/2021 20:35:30.245083,1,2,0,331
Allegheny,BETHEL PARK WARD 1 DIST 1,trumpd,12/27/2021 20:35:30.245083,83,272,0,331
Allegheny,BETHEL PARK WARD 1 DIST 2,bidenj,12/27/2021 20:35:30.245083,238,125,0,299
Allegheny,BETHEL PARK WARD 1 DIST 2,jorgensenj,12/27/2021 20:35:30.245083,1,9,0,299
Allegheny,BETHEL PARK WARD 1 DIST 2,other,12/27/2021 20:35:30.245083,0,2,0,299
Allegheny,BETHEL PARK WARD 1 DIST 2,trumpd,12/27/2021 20:35:30.245083,60,232,0,299
Allegheny,BETHEL PARK WARD 1 DIST 3,bidenj,12/27/2021 20:35:30.245083,216,123,0,333
Allegheny,BETHEL PARK WARD 1 DIST 3,jorgensenj,12/27/2021 20:35:30.245083,1,9,0,333
Allegheny,BETHEL PARK WARD 1 DIST 3,other,12/27/2021 20:35:30.245083,3,0,0,333
Allegheny,BETHEL PARK WARD 1 DIST 3,trumpd,12/27/2021 20:35:30.245083,113,248,0,333
Allegheny,BETHEL PARK WARD 2 DIST 1,bidenj,12/27/2021 20:35:30.245083,206,96,0,283
Allegheny,BETHEL PARK WARD 2 DIST 1,jorgensenj,12/27/2021 20:35:30.245083,5,6,0,283
Allegheny,BETHEL PARK WARD 2 DIST 1,other,12/27/2021 20:35:30.245083,1,2,0,283
Allegheny,BETHEL PARK WARD 2 DIST 1,trumpd,12/27/2021 20:35:30.245083,71,243,0,283
Allegheny,BETHEL PARK WARD 2 DIST 2,bidenj,12/27/2021 20:35:30.245083,280,115,0,378
Allegheny,BETHEL PARK WARD 2 DIST 2,jorgensenj,12/27/2021 20:35:30.245083,2,1,0,378
Allegheny,BETHEL PARK WARD 2 DIST 2,other,12/27/2021 20:35:30.245083,0,0,0,378
Allegheny,BETHEL PARK WARD 2 DIST 2,trumpd,12/27/2021 20:35:30.245083,96,311,0,378
Allegheny,BETHEL PARK WARD 2 DIST 3,bidenj,12/27/2021 20:35:30.245083,318,125,0,440
Allegheny,BETHEL PARK WARD 2 DIST 3,jorgensenj,12/27/2021 20:35:30.245083,6,5,0,440
Allegheny,BETHEL PARK WARD 2 DIST 3,other,12/27/2021 20:35:30.245083,1,0,0,440
Allegheny,BETHEL PARK WARD 2 DIST 3,trumpd,12/27/2021 20:35:30.245083,115,354,0,440
Allegheny,BETHEL PARK WARD 3 DIST 1,bidenj,12/27/2021 20:35:30.245083,216,104,0,298
