CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
boyle-63512-39-h,2020-12-08T22:01:02Z,198140,22901,0
torres-19917-39-h,2020-12-08T22:01:02Z,75022,2621,0
