CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
calabrese-44258,2020-11-17T16:51:55.973Z,4142,0,0
duhamel-44259,2020-11-17T16:51:55.973Z,7397,0,0
