CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
johnsond,2020-11-24T13:24:41Z,10983,0,37,37,46093
luallinr,2020-11-24T13:24:41Z,2178,0,37,37,46093
