CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
melendy-50198,2020-11-17T16:51:59.430Z,878,0,0
pearl-50197,2020-11-17T16:51:59.430Z,1931,0,0
