CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
baruth-49407,2020-11-17T16:51:59.430Z,43923,0,0
bowen-50341,2020-11-17T16:51:59.430Z,21900,0,0
chastenay-50168,2020-11-17T16:51:59.430Z,19300,0,0
chittenden-50169,2020-11-17T16:51:59.430Z,50974,0,0
ehlers-67437,2020-11-17T16:51:59.430Z,11919,0,0
hollingsworth-50340,2020-11-17T16:51:59.430Z,16319,0,0
long-50305,2020-11-17T16:51:59.430Z,18763,0,0
lyons-49140,2020-11-17T16:51:59.430Z,48602,0,0
pearson-49034,2020-11-17T16:51:59.430Z,33445,0,0
ram-49231,2020-11-17T16:51:59.430Z,46513,0,0
redic-50172,2020-11-17T16:51:59.430Z,18945,0,0
rolland-50203,2020-11-17T16:51:59.430Z,17604,0,0
sirotkin-49696,2020-11-17T16:51:59.430Z,45819,0,0
