CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
cavacas-50309,2020-11-17T16:51:59.430Z,4731,0,0
collamore-49700,2020-11-17T16:51:59.430Z,14861,0,0
courcelle-50175,2020-11-17T16:51:59.430Z,8334,0,0
cox-50112,2020-11-17T16:51:59.430Z,10280,0,0
hooker-49978,2020-11-17T16:51:59.430Z,13196,0,0
jennings-50310,2020-11-17T16:51:59.430Z,1009,0,0
lenchus-49959,2020-11-17T16:51:59.430Z,552,0,0
shank-50311,2020-11-17T16:51:59.430Z,2266,0,0
terenzini-50177,2020-11-17T16:51:59.430Z,14008,0,0
williams-50007,2020-11-17T16:51:59.430Z,11828,0,0
