CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
erickson-43626,2020-11-17T16:51:57.113Z,11949,1482,0
nash-44750,2020-11-17T16:51:57.113Z,6924,1641,0
