CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
biden-1036,2020-12-05T23:28:35Z,759061,568294,0
blankenship-19247-16-p,2020-12-05T23:28:35Z,1707,1062,0
de-la-fuente-64542-16-p,2020-12-05T23:28:35Z,1082,587,0
hawkins-32916-16-p,2020-12-05T23:28:35Z,3075,1713,0
jorgensen-20062680-16-p,2020-12-05T23:28:35Z,19637,8463,0
king-20074019-16-p,2020-12-05T23:28:35Z,546,341,0
pierce-20073903-16-p,2020-12-05T23:28:35Z,544,305,0
trump-8639,2020-12-05T23:28:35Z,897672,410030,6
west-20073902-16-p,2020-12-05T23:28:35Z,3210,1405,0
write-ins-21303-16-p,2020-12-05T23:28:35Z,4337,522,0
