CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
no-3,2021-11-03T02:03:41.690Z,295884,2361,0
yes-2,2021-11-03T02:03:41.690Z,524478,4711,0
no-3,2021-11-03T02:05:43.490Z,295884,83177,0
yes-2,2021-11-03T02:05:43.490Z,524478,145699,0
no-3,2021-11-03T02:06:44.537Z,297277,83177,0
yes-2,2021-11-03T02:06:44.537Z,527591,145699,0
no-3,2021-11-03T02:08:45.787Z,304068,83177,0
yes-2,2021-11-03T02:08:45.787Z,539423,145699,0
no-3,2021-11-03T02:09:46.417Z,315230,83177,0
yes-2,2021-11-03T02:09:46.417Z,560069,145699,0
no-3,2021-11-03T02:10:47.067Z,315230,83177,0
yes-2,2021-11-03T02:10:47.067Z,560069,145699,0
no-3,2021-11-03T02:12:48.380Z,316001,83177,0
yes-2,2021-11-03T02:12:48.380Z,561316,145699,0
no-3,2021-11-03T02:13:49Z,317651,84827,0
yes-2,2021-11-03T02:13:49Z,564331,148714,0
no-3,2021-11-03T02:15:50.280Z,320310,84827,0
yes-2,2021-11-03T02:15:50.280Z,568383,148714,0
no-3,2021-11-03T02:16:50.940Z,325446,84827,0
yes-2,2021-11-03T02:16:50.940Z,576323,148714,0
no-3,2021-11-03T02:17:51.973Z,343230,84827,0
yes-2,2021-11-03T02:17:51.973Z,602934,148714,0
no-3,2021-11-03T02:18:52.607Z,347107,84827,0
yes-2,2021-11-03T02:18:52.607Z,609216,148714,0
no-3,2021-11-03T02:20:54.437Z,358299,84827,0
yes-2,2021-11-03T02:20:54.437Z,629121,148714,0
no-3,2021-11-03T02:23:56.487Z,365524,84827,0
yes-2,2021-11-03T02:23:56.487Z,642875,148714,0
no-3,2021-11-03T02:24:57.090Z,382133,85598,0
yes-2,2021-11-03T02:24:57.090Z,669793,149961,0
no-3,2021-11-03T02:25:57.747Z,384793,85598,0
yes-2,2021-11-03T02:25:57.747Z,674777,149961,0
no-3,2021-11-03T02:27:59.107Z,398144,85598,0
yes-2,2021-11-03T02:27:59.107Z,699940,149961,0
no-3,2021-11-03T02:28:59.767Z,399453,85598,0
yes-2,2021-11-03T02:28:59.767Z,702689,149961,0
no-3,2021-11-03T02:33:02.387Z,414060,85598,0
yes-2,2021-11-03T02:33:02.387Z,726154,149961,0
no-3,2021-11-03T02:35:03.670Z,421298,85598,0
yes-2,2021-11-03T02:35:03.670Z,739353,149961,0
no-3,2021-11-03T02:36:04.367Z,423848,85598,0
yes-2,2021-11-03T02:36:04.367Z,743466,149961,0
no-3,2021-11-03T02:42:08.503Z,429203,85598,0
yes-2,2021-11-03T02:42:08.503Z,751246,149961,0
no-3,2021-11-03T02:43:09.147Z,445231,85598,0
yes-2,2021-11-03T02:43:09.147Z,777724,149961,0
no-3,2021-11-03T02:44:09.790Z,446282,85598,0
yes-2,2021-11-03T02:44:09.790Z,779948,149961,0
no-3,2021-11-03T02:47:12.087Z,448632,85598,0
yes-2,2021-11-03T02:47:12.087Z,784482,149961,0
no-3,2021-11-03T02:52:15.400Z,451852,85598,0
yes-2,2021-11-03T02:52:15.400Z,789999,149961,0
no-3,2021-11-03T02:54:17.073Z,453318,85598,0
