CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T16:20:11Z,5832,4837,17,17,37111
blankenshipd,2020-11-27T16:20:11Z,21,13,17,17,37111
hawkinsh,2020-11-27T16:20:11Z,45,27,17,17,37111
jorgensenj,2020-11-27T16:20:11Z,184,112,17,17,37111
trumpd,2020-11-27T16:20:11Z,16883,12173,17,17,37111
write-ins,2020-11-27T16:20:11Z,38,0,17,17,37111
