CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
butterfieldg,2021-01-08T18:05:28Z,6085,4989,13,13,37131
smiths,2021-01-08T18:05:28Z,3911,2611,13,13,37131
