CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
galvina,2021-01-26T16:13:46Z,7772,6052,11,11,02933
write-ins,2021-01-26T16:13:46Z,29,0,11,11,02933
youngd,2021-01-26T16:13:46Z,3076,1683,11,11,02933
