CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
eastman-4289,2020-12-01T01:26:11.303Z,7659,0,0
stein-olson-4483,2020-12-01T01:26:11.303Z,2693,0,0
