CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
hollifield-15785,2020-12-07T20:18:20.81Z,4272,3196,0
jasperse-14396,2020-12-07T20:18:20.81Z,22633,13776,0
