CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
bartell-20073765-11-s2,2021-03-07T03:10:49Z,14640,10292,0
buckley-50921-11-s2,2021-03-07T03:10:49Z,17954,12798,0
collins-62270-11-s2,2021-03-07T03:10:49Z,980454,766803,0
fortuin-20073766-11-s2,2021-03-07T03:10:49Z,15293,11274,0
grayson-63348-11-s2,2021-03-07T03:10:49Z,51592,35735,0
greene-20073767-11-s2,2021-03-07T03:10:49Z,13293,8834,0
jackson-20073757-11-s2,2021-03-07T03:10:49Z,324118,257234,0
jackson-20073762-11-s2,2021-03-07T03:10:49Z,44335,30655,0
james-20073758-11-s2,2021-03-07T03:10:49Z,94406,73739,0
johnson-20073763-11-s2,2021-03-07T03:10:49Z,36176,24080,0
johnson-shealey-20073759-11-s2,2021-03-07T03:10:49Z,106767,83459,0
lieberman-20073401-11-s2,2021-03-07T03:10:49Z,136021,109731,0
loeffler-20073404-11-s2,2021-03-07T03:10:49Z,1273214,973240,0
slade-20073760-11-s2,2021-03-07T03:10:49Z,44945,33455,0
slowinski-20073768-11-s2,2021-03-07T03:10:49Z,35431,22799,0
stovall-20073769-11-s2,2021-03-07T03:10:49Z,13318,9542,0
tarver-20073402-11-s2,2021-03-07T03:10:49Z,26333,22511,0
taylor-20073764-11-s2,2021-03-07T03:10:49Z,40349,27609,0
warnock-20073403-11-s2,2021-03-07T03:10:49Z,1617035,1408350,0
winfield-20073761-11-s2,2021-03-07T03:10:49Z,28687,22528,0
write-ins-21303-11-s2,2021-03-07T03:10:49Z,7,3,0
