CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-24T13:25:11Z,8070,5539,17,17,51031
jorgensenj,2020-11-24T13:25:11Z,490,180,17,17,51031
trumpd,2020-11-24T13:25:11Z,21245,9336,17,17,51031
write-ins,2020-11-24T13:25:11Z,87,0,17,17,51031
