CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
collickj,2020-11-24T13:24:57Z,12527,6062,18,18,51800
scottb,2020-11-24T13:24:57Z,19473,14132,18,18,51800
