CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
brostoff-52875,2020-12-02T15:58:36.943Z,27552,0,0
fritz-53356,2020-12-02T15:58:36.943Z,7535,0,0
