CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
keam-49393,2021-11-01T12:58:11.037Z,0,0,0
mcgrath-49659,2021-11-01T12:58:11.037Z,0,0,0
keam-49393,2021-11-02T18:43:09.683Z,0,0,0
mcgrath-49659,2021-11-02T18:43:09.683Z,0,0,0
keam-49393,2021-11-02T23:00:02.290Z,0,0,0
mcgrath-49659,2021-11-02T23:00:02.290Z,0,0,0
keam-49393,2021-11-02T23:51:35.403Z,9166,9166,0
mcgrath-49659,2021-11-02T23:51:35.403Z,2703,2703,0
keam-49393,2021-11-03T00:16:58.267Z,9166,9166,0
mcgrath-49659,2021-11-03T00:16:58.267Z,2703,2703,0
keam-49393,2021-11-03T00:40:17.613Z,11480,9262,0
mcgrath-49659,2021-11-03T00:40:17.613Z,4369,2720,0
keam-49393,2021-11-03T00:43:20.307Z,12406,9262,0
mcgrath-49659,2021-11-03T00:43:20.307Z,4946,2720,0
keam-49393,2021-11-03T01:03:39.063Z,14194,9262,0
mcgrath-49659,2021-11-03T01:03:39.063Z,5943,2720,0
keam-49393,2021-11-03T01:14:48.967Z,15158,9262,0
mcgrath-49659,2021-11-03T01:14:48.967Z,6445,2720,0
keam-49393,2021-11-03T01:44:09.337Z,15560,9262,0
mcgrath-49659,2021-11-03T01:44:09.337Z,6716,2720,0
keam-49393,2021-11-03T02:14:30.530Z,18226,9262,0
mcgrath-49659,2021-11-03T02:14:30.530Z,8252,2720,0
keam-49393,2021-11-03T03:15:12.450Z,18615,9262,0
mcgrath-49659,2021-11-03T03:15:12.450Z,8446,2720,0
keam-49393,2021-11-03T03:24:17.033Z,19778,9262,0
mcgrath-49659,2021-11-03T03:24:17.033Z,9111,2720,0
keam-49393,2021-11-03T03:34:22.870Z,20101,9262,0
mcgrath-49659,2021-11-03T03:34:22.870Z,9304,2720,0
keam-49393,2021-11-03T03:44:29.087Z,21625,9262,0
mcgrath-49659,2021-11-03T03:44:29.087Z,10141,2720,0
keam-49393,2021-11-03T06:21:50.900Z,24044,11681,0
mcgrath-49659,2021-11-03T06:21:50.900Z,11132,3711,0
keam-49393,2021-11-03T06:58:02.567Z,24044,9166,0
mcgrath-49659,2021-11-03T06:58:02.567Z,11132,2703,0
