COUNTY,PRECINCT,CANDIDATE,Timestamp,VOTES,TOTAL_VOTES,GEOID
Kansas_City,W1-P1_3,bidenj,12/27/2021 20:35:30.138617,1923,2368,29095-KANSAS CITY W1-P1,3
Kansas_City,W1-P1_3,blankenshipd,12/27/2021 20:35:30.138617,6,2368,29095-KANSAS CITY W1-P1,3
Kansas_City,W1-P1_3,hawkinsh,12/27/2021 20:35:30.138617,13,2368,29095-KANSAS CITY W1-P1,3
Kansas_City,W1-P1_3,jorgensenj,12/27/2021 20:35:30.138617,39,2368,29095-KANSAS CITY W1-P1,3
Kansas_City,W1-P1_3,other,12/27/2021 20:35:30.138617,0,2368,29095-KANSAS CITY W1-P1,3
Kansas_City,W1-P1_3,trumpd,12/27/2021 20:35:30.138617,387,2368,29095-KANSAS CITY W1-P1,3
Kansas_City,W1-P2_7,bidenj,12/27/2021 20:35:30.138617,1498,1753,29095-KANSAS CITY W1-P2,7
Kansas_City,W1-P2_7,blankenshipd,12/27/2021 20:35:30.138617,2,1753,29095-KANSAS CITY W1-P2,7
Kansas_City,W1-P2_7,hawkinsh,12/27/2021 20:35:30.138617,4,1753,29095-KANSAS CITY W1-P2,7
Kansas_City,W1-P2_7,jorgensenj,12/27/2021 20:35:30.138617,25,1753,29095-KANSAS CITY W1-P2,7
Kansas_City,W1-P2_7,other,12/27/2021 20:35:30.138617,0,1753,29095-KANSAS CITY W1-P2,7
Kansas_City,W1-P2_7,trumpd,12/27/2021 20:35:30.138617,224,1753,29095-KANSAS CITY W1-P2,7
Kansas_City,W1-P5_4,bidenj,12/27/2021 20:35:30.138617,2451,3011,29095-KANSAS CITY W1-P5,4
Kansas_City,W1-P5_4,blankenshipd,12/27/2021 20:35:30.138617,1,3011,29095-KANSAS CITY W1-P5,4
Kansas_City,W1-P5_4,hawkinsh,12/27/2021 20:35:30.138617,19,3011,29095-KANSAS CITY W1-P5,4
Kansas_City,W1-P5_4,jorgensenj,12/27/2021 20:35:30.138617,43,3011,29095-KANSAS CITY W1-P5,4
Kansas_City,W1-P5_4,other,12/27/2021 20:35:30.138617,0,3011,29095-KANSAS CITY W1-P5,4
Kansas_City,W1-P5_4,trumpd,12/27/2021 20:35:30.138617,497,3011,29095-KANSAS CITY W1-P5,4
Kansas_City,W1-P6,bidenj,12/27/2021 20:35:30.138617,1277,1588,29095-KANSAS CITY 01-06
Kansas_City,W1-P6,blankenshipd,12/27/2021 20:35:30.138617,0,1588,29095-KANSAS CITY 01-06
Kansas_City,W1-P6,hawkinsh,12/27/2021 20:35:30.138617,4,1588,29095-KANSAS CITY 01-06
Kansas_City,W1-P6,jorgensenj,12/27/2021 20:35:30.138617,21,1588,29095-KANSAS CITY 01-06
Kansas_City,W1-P6,other,12/27/2021 20:35:30.138617,0,1588,29095-KANSAS CITY 01-06
Kansas_City,W1-P6,trumpd,12/27/2021 20:35:30.138617,286,1588,29095-KANSAS CITY 01-06
Kansas_City,W10-P1_2_5_6_7_10,bidenj,12/27/2021 20:35:30.138617,2189,3067,29095-KANSAS CITY W10-P1,2,5,6,7,10
Kansas_City,W10-P1_2_5_6_7_10,blankenshipd,12/27/2021 20:35:30.138617,4,3067,29095-KANSAS CITY W10-P1,2,5,6,7,10
Kansas_City,W10-P1_2_5_6_7_10,hawkinsh,12/27/2021 20:35:30.138617,11,3067,29095-KANSAS CITY W10-P1,2,5,6,7,10
