CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
bailey-31323,2020-12-08T21:27:01.96Z,14227,0,0
kiehne-31142,2020-12-08T21:27:01.96Z,7553,0,0
