CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
bidenj,2020-11-27T21:37:31Z,6541,5093,39,39,39005
hawkinsh,2020-11-27T21:37:31Z,105,62,39,39,39005
jorgensenj,2020-11-27T21:37:31Z,345,157,39,39,39005
trumpd,2020-11-27T21:37:31Z,19407,10986,39,39,39005
write-ins,2020-11-27T21:37:31Z,7,0,39,39,39005
