CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
barnes-21140,2020-12-06T02:36:35.307Z,19621,0,0
greenwood-21989,2020-12-06T02:36:35.307Z,26152,0,0
