CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
catesj,2020-12-06T02:36:25.320Z,10992,0,65,65,17199
overstreetd,2020-12-06T02:36:25.320Z,21584,0,65,65,17199
