CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
biden-1036,2021-01-26T15:13:52Z,1717077,14221,10
de-la-fuente-64542-24-p,2021-01-26T15:13:52Z,5611,67,0
hawkins-32916-24-p,2021-01-26T15:13:52Z,10033,52,0
jorgensen-20062680-24-p,2021-01-26T15:13:52Z,34976,219,0
kennedy-65352-24-p,2021-01-26T15:13:52Z,643,4,0
la-riva-254-24-p,2021-01-26T15:13:52Z,1210,7,0
pierce-20073903-24-p,2021-01-26T15:13:52Z,5651,51,0
trump-8639,2021-01-26T15:13:52Z,1484065,15710,0
west-20073902-24-p,2021-01-26T15:13:52Z,7940,65,0
write-ins-21303-24-p,2021-01-26T15:13:52Z,9965,34,0
