CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
lewisj,2020-11-27T03:32:22Z,6707,2786,37,37,27091
oconnork,2020-11-27T03:32:22Z,613,191,37,37,27091
smitht,2020-11-27T03:32:22Z,3348,2156,37,37,27091
steinbergo,2020-11-27T03:32:22Z,200,69,37,37,27091
