CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
biden-1036,2021-02-23T15:47:22Z,539398,16461,0
blankenship-19247-25-p,2021-02-23T15:47:22Z,1279,27,0
carroll-19790-25-p,2021-02-23T15:47:22Z,1161,20,0
collins-20073950-25-p,2021-02-23T15:47:22Z,1317,20,0
hawkins-32916-25-p,2021-02-23T15:47:22Z,1498,36,0
jorgensen-20062680-25-p,2021-02-23T15:47:22Z,8026,188,0
pierce-20073903-25-p,2021-02-23T15:47:22Z,659,12,0
trump-8639,2021-02-23T15:47:22Z,756764,18031,6
west-20073902-25-p,2021-02-23T15:47:22Z,3657,89,0
write-ins-21303-25-p,2021-02-23T15:47:22Z,1423,36,0
