COUNTY,CANDIDATE,Timestamp,ABSENTEE_VOTES,ELECTION_DAY_VOTES,PROVISIONAL_VOTES,ABSENTEE_TOTAL_VOTES,ELECTION_DAY_TOTAL_VOTES,PROVISIONAL_TOTAL_VOTES
Clay,hawkinsh,12/27/2021 20:35:30.279628,49,37,0,None,None,None
Clay,jorgensenj,12/27/2021 20:35:30.279628,376,390,0,None,None,None
Clay,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Clay,other,12/27/2021 20:35:30.279628,95,66,0,None,None,None
Clay,trumpd,12/27/2021 20:35:30.279628,17723,18874,0,None,None,None
Collier,bidenj,12/27/2021 20:35:30.279628,48573,7184,33,None,None,None
Collier,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Collier,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Collier,hawkinsh,12/27/2021 20:35:30.279628,98,45,0,None,None,None
Collier,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Collier,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Collier,other,12/27/2021 20:35:30.279628,279,88,0,None,None,None
Collier,trumpd,12/27/2021 20:35:30.279628,52814,20974,92,None,None,None
Columbia,bidenj,12/27/2021 20:35:30.279628,4105,1426,0,None,None,0
Columbia,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Columbia,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Columbia,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Columbia,jorgensenj,12/27/2021 20:35:30.279628,62,80,0,None,None,0
Columbia,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Columbia,other,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Columbia,trumpd,12/27/2021 20:35:30.279628,5466,5358,0,None,None,0
Gadsden,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gadsden,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gadsden,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gadsden,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gadsden,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gadsden,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gadsden,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gadsden,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gilchrist,bidenj,12/27/2021 20:35:30.279628,784,376,0,None,None,None
Gilchrist,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gilchrist,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gilchrist,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gilchrist,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gilchrist,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gilchrist,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Gilchrist,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hamilton,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hamilton,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hamilton,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hamilton,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hamilton,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hamilton,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hamilton,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hamilton,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hardee,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hardee,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hardee,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hardee,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hardee,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hardee,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hardee,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hardee,trumpd,12/27/2021 20:35:30.279628,965,2069,0,None,None,None
Hendry,bidenj,12/27/2021 20:35:30.279628,1547,996,0,None,None,None
Hendry,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hendry,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hendry,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hendry,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hendry,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hendry,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Hendry,trumpd,12/27/2021 20:35:30.279628,1706,1800,0,None,None,None
Highlands,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Highlands,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Highlands,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Highlands,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Highlands,jorgensenj,12/27/2021 20:35:30.279628,87,80,0,None,None,None
Highlands,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Highlands,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Highlands,trumpd,12/27/2021 20:35:30.279628,10310,9098,32,None,None,None
Hillsborough,bidenj,12/27/2021 20:35:30.279628,211299,40798,0,335817,106304,0
Hillsborough,blankenshipd,12/27/2021 20:35:30.279628,165,46,0,335817,106304,0
Hillsborough,de_la_fuenter,12/27/2021 20:35:30.279628,302,137,0,335817,106304,0
Hillsborough,hawkinsh,12/27/2021 20:35:30.279628,606,274,0,335817,106304,0
Hillsborough,jorgensenj,12/27/2021 20:35:30.279628,2506,1464,0,335817,106304,0
Hillsborough,la_rivag,12/27/2021 20:35:30.279628,255,125,0,335817,106304,0
Hillsborough,other,12/27/2021 20:35:30.279628,1093,462,0,335817,106304,0
Hillsborough,trumpd,12/27/2021 20:35:30.279628,119591,62998,0,335817,106304,0
Holmes,bidenj,12/27/2021 20:35:30.279628,471,205,0,None,None,None
Holmes,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Holmes,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Holmes,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Holmes,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Holmes,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Holmes,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Holmes,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Indian River,bidenj,12/27/2021 20:35:30.279628,23681,3854,0,None,None,0
Indian River,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Indian River,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Indian River,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Indian River,jorgensenj,12/27/2021 20:35:30.279628,232,164,0,None,None,0
Indian River,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,0
Indian River,other,12/27/2021 20:35:30.279628,144,53,0,None,None,0
Indian River,trumpd,12/27/2021 20:35:30.279628,21255,11763,0,None,None,0
Jackson,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Jackson,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Jackson,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Jackson,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Jackson,jorgensenj,12/27/2021 20:35:30.279628,40,41,0,None,None,None
Jackson,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Jackson,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Jackson,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lafayette,bidenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lafayette,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lafayette,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lafayette,hawkinsh,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lafayette,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lafayette,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lafayette,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lafayette,trumpd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lake,bidenj,12/27/2021 20:35:30.279628,39505,13075,47,None,None,None
Lake,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lake,de_la_fuenter,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lake,hawkinsh,12/27/2021 20:35:30.279628,107,63,0,None,None,None
Lake,jorgensenj,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lake,la_rivag,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lake,other,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lake,trumpd,12/27/2021 20:35:30.279628,28865,37519,83,None,None,None
Lee,bidenj,12/27/2021 20:35:30.279628,108687,15278,0,None,None,None
Lee,blankenshipd,12/27/2021 20:35:30.279628,0,0,0,None,None,None
Lee,de_la_fuenter,12/27/2021 20:35:30.279628,109,41,0,None,None,None
Lee,hawkinsh,12/27/2021 20:35:30.279628,238,114,0,None,None,None
Lee,jorgensenj,12/27/2021 20:35:30.279628,1043,545,0,None,None,None
Lee,la_rivag,12/27/2021 20:35:30.279628,98,38,0,None,None,None
Lee,other,12/27/2021 20:35:30.279628,547,182,0,None,None,None
