CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
johnson-8838,2020-11-27T18:53:55.323Z,13945,10592,0
rolfe-8839,2020-11-27T18:53:55.323Z,11641,8919,0
