CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
biden-1036,2020-11-30T18:42:29Z,423932,352094,0
blankenship-19247-4-p,2020-11-30T18:42:29Z,2108,1441,0
carroll-19790-4-p,2020-11-30T18:42:29Z,1713,1274,0
collins-20073950-4-p,2020-11-30T18:42:29Z,2812,1907,0
de-la-fuente-64542-4-p,2020-11-30T18:42:29Z,1321,981,0
gammon-660-4-p,2020-11-30T18:42:29Z,1475,1051,0
hawkins-32916-4-p,2020-11-30T18:42:29Z,2980,2076,0
jorgensen-20062680-4-p,2020-11-30T18:42:29Z,13133,9256,0
la-riva-254-4-p,2020-11-30T18:42:29Z,1336,916,0
myers-64469-4-p,2020-11-30T18:42:29Z,1372,983,0
pierce-20073903-4-p,2020-11-30T18:42:29Z,2141,1594,0
trump-8639,2020-11-30T18:42:29Z,760647,576535,6
west-20073902-4-p,2020-11-30T18:42:29Z,4099,2591,0
