CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
hagopiant,2020-11-17T16:52:00.333Z,1727,498,13,13,40039
hiettt,2020-11-17T16:52:00.333Z,8507,1873,13,13,40039
