CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
biden-1036,2021-01-27T15:32:30Z,560282,308563,0
blankenship-19247-45-p,2021-01-27T15:32:30Z,5551,1969,0
hawkins-32916-45-p,2021-01-27T15:32:30Z,5053,2313,0
jorgensen-20062680-45-p,2021-01-27T15:32:30Z,38447,13874,0
la-riva-254-45-p,2021-01-27T15:32:30Z,1139,589,0
mchugh-20073954-45-p,2021-01-27T15:32:30Z,2229,869,0
pierce-20073903-45-p,2021-01-27T15:32:30Z,2623,1038,0
trump-8639,2021-01-27T15:32:30Z,865140,306506,6
west-20073902-45-p,2021-01-27T15:32:30Z,7213,2788,0
write-ins-21303-45-p,2021-01-27T15:32:30Z,612,0,0
