CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
brown-20073941-43-h,2021-03-06T23:20:28Z,7603,1636,0
green-1453-43-h,2021-03-06T23:20:28Z,245188,81003,0
sreepada-20073568-43-h,2021-03-06T23:20:28Z,95839,35924,0
vieira-20073942-43-h,2021-03-06T23:20:28Z,2005,544,0
