CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
biden-1036,2021-03-06T23:20:28Z,1143711,642052,0
blankenship-19247-43-p,2021-03-06T23:20:28Z,5365,2223,0
de-la-fuente-64542-43-p,2021-03-06T23:20:28Z,1860,803,0
hawkins-32916-43-p,2021-03-06T23:20:28Z,4545,1946,0
jorgensen-20062680-43-p,2021-03-06T23:20:28Z,29877,11182,0
kennedy-65352-43-p,2021-03-06T23:20:28Z,2576,1124,0
la-riva-254-43-p,2021-03-06T23:20:28Z,2301,1201,0
trump-8639,2021-03-06T23:20:28Z,1852475,631119,11
west-20073902-43-p,2021-03-06T23:20:28Z,10279,4403,0
write-ins-21303-43-p,2021-03-06T23:20:28Z,862,5,0
