CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
caseyl,2020-11-23T21:10:15.32Z,5542,0,33,33,01109
cavanaught,2020-11-23T21:10:15.32Z,7876,0,33,33,01109
