CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
horrigan-37920,2020-12-03T17:56:48.003Z,5393,0,0
kenney-40669,2020-12-03T17:56:48.003Z,5402,0,0
lamoureux-41076,2020-12-03T17:56:48.003Z,2216,0,0
mcdermott-41077,2020-12-03T17:56:48.003Z,2291,0,0
racic-40670,2020-12-03T17:56:48.003Z,2140,0,0
smith-37917,2020-12-03T17:56:48.003Z,5443,0,0
spang-37918,2020-12-03T17:56:48.003Z,5440,0,0
wall-37919,2020-12-03T17:56:48.003Z,5496,0,0
zetterstrom-41078,2020-12-03T17:56:48.003Z,2031,0,0
ziegra-39408,2020-12-03T17:56:48.003Z,1934,0,0
