CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
dangelo-41013,2020-12-03T17:57:00.187Z,3533,0,0
edwards-40157,2020-12-03T17:57:00.187Z,6686,0,0
ford-41017,2020-12-03T17:57:00.187Z,5966,0,0
geiger-40595,2020-12-03T17:57:00.187Z,3162,0,0
krohn-41014,2020-12-03T17:57:00.187Z,3178,0,0
norman-40598,2020-12-03T17:57:00.187Z,3158,0,0
osborne-39724,2020-12-03T17:57:00.187Z,6235,0,0
piemonte-40601,2020-12-03T17:57:00.187Z,5982,0,0
true-39726,2020-12-03T17:57:00.187Z,6330,0,0
van-zandt-41015,2020-12-03T17:57:00.187Z,3441,0,0
